"filename", "language", "Markdown", "JavaScript", "CSS", "JSON", "XML", "HTML", "comment", "blank", "total"
"c:\Users\QHS\Desktop\personal-portfolio\README.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 15, 37
"c:\Users\QHS\Desktop\personal-portfolio\package-lock.json", "JSON", 0, 0, 0, 30520, 0, 0, 0, 1, 30521
"c:\Users\QHS\Desktop\personal-portfolio\package.json", "JSON", 0, 0, 0, 60, 0, 0, 0, 1, 61
"c:\Users\QHS\Desktop\personal-portfolio\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\QHS\Desktop\personal-portfolio\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\QHS\Desktop\personal-portfolio\server.js", "JavaScript", 0, 47, 0, 0, 0, 0, 1, 5, 53
"c:\Users\QHS\Desktop\personal-portfolio\src\App.css", "CSS", 0, 0, 708, 0, 0, 0, 8, 49, 765
"c:\Users\QHS\Desktop\personal-portfolio\src\App.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\QHS\Desktop\personal-portfolio\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\QHS\Desktop\personal-portfolio\src\assets\img\arrow1.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\QHS\Desktop\personal-portfolio\src\assets\img\arrow2.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\QHS\Desktop\personal-portfolio\src\assets\img\contact-img.svg", "XML", 0, 0, 0, 0, 162, 0, 0, 1, 163
"c:\Users\QHS\Desktop\personal-portfolio\src\assets\img\header-img.svg", "XML", 0, 0, 0, 0, 741, 0, 0, 1, 742
"c:\Users\QHS\Desktop\personal-portfolio\src\assets\img\logo.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\QHS\Desktop\personal-portfolio\src\assets\img\meter1.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\QHS\Desktop\personal-portfolio\src\assets\img\meter2.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\QHS\Desktop\personal-portfolio\src\assets\img\meter3.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\QHS\Desktop\personal-portfolio\src\assets\img\nav-icon1.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\QHS\Desktop\personal-portfolio\src\assets\img\nav-icon2.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\QHS\Desktop\personal-portfolio\src\assets\img\nav-icon3.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\QHS\Desktop\personal-portfolio\src\components\Banner.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 8, 75
"c:\Users\QHS\Desktop\personal-portfolio\src\components\Contact.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 7, 89
"c:\Users\QHS\Desktop\personal-portfolio\src\components\Footer.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 2, 29
"c:\Users\QHS\Desktop\personal-portfolio\src\components\MailchimpForm.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\QHS\Desktop\personal-portfolio\src\components\NavBar.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 8, 67
"c:\Users\QHS\Desktop\personal-portfolio\src\components\Newsletter.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\QHS\Desktop\personal-portfolio\src\components\ProjectCard.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\QHS\Desktop\personal-portfolio\src\components\Projects.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 5, 103
"c:\Users\QHS\Desktop\personal-portfolio\src\components\Skills.js", "JavaScript", 0, 136, 0, 0, 0, 0, 0, 23, 159
"c:\Users\QHS\Desktop\personal-portfolio\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\QHS\Desktop\personal-portfolio\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 3, 18
"c:\Users\QHS\Desktop\personal-portfolio\src\logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\QHS\Desktop\personal-portfolio\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\QHS\Desktop\personal-portfolio\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 22, 613, 720, 30605, 957, 20, 39, 162, 33138
